 format: day,hour,forecast,value  location:51_129 Start : 20221229 
 29,0200,+6,60.000000 
 29,0200,+7,70.000000 
 29,0200,+8,70.000000 
 29,0200,+9,75.000000 
 29,0200,+10,75.000000 
 29,0200,+11,75.000000 
 29,0200,+12,80.000000 
 29,0200,+13,75.000000 
 29,0200,+14,80.000000 
 29,0200,+15,80.000000 
 29,0200,+16,80.000000 
 29,0200,+17,80.000000 
 29,0200,+18,80.000000 
 29,0200,+19,80.000000 
 29,0200,+20,80.000000 
 29,0200,+21,80.000000 
 29,0200,+22,70.000000 
 29,0200,+23,60.000000 
 29,0200,+24,55.000000 
 29,0200,+25,50.000000 
 29,0200,+26,55.000000 
 29,0200,+27,55.000000 
 29,0200,+28,55.000000 
 29,0200,+29,55.000000 
 29,0200,+30,65.000000 
 29,0200,+31,70.000000 
 29,0200,+32,70.000000 
 29,0200,+33,70.000000 
 29,0200,+34,75.000000 
 29,0200,+35,75.000000 
 29,0200,+36,75.000000 
 29,0200,+37,70.000000 
 29,0200,+38,70.000000 
 29,0200,+39,75.000000 
 29,0200,+40,75.000000 
 29,0200,+41,75.000000 
 29,0200,+42,75.000000 
 29,0200,+43,75.000000 
 29,0200,+44,80.000000 
 29,0200,+45,80.000000 
 29,0200,+46,80.000000 
 29,0200,+47,70.000000 
 29,0200,+48,70.000000 
 29,0200,+49,60.000000 
 29,0200,+50,60.000000 
 29,0200,+51,60.000000 
 29,0200,+52,60.000000 
 29,0200,+53,65.000000 
 29,0200,+54,70.000000 
 29,0200,+55,75.000000 
 29,0200,+56,75.000000 
 29,0200,+57,75.000000 
 29,0200,+58,75.000000 
 29,0200,+59,80.000000 
 29,0200,+60,80.000000 
 29,0200,+61,80.000000 
 29,0500,+6,75.000000 
 29,0500,+7,75.000000 
 29,0500,+8,75.000000 
 29,0500,+9,80.000000 
 29,0500,+10,75.000000 
 29,0500,+11,80.000000 
 29,0500,+12,80.000000 
 29,0500,+13,80.000000 
 29,0500,+14,80.000000 
 29,0500,+15,80.000000 
 29,0500,+16,80.000000 
 29,0500,+17,80.000000 
 29,0500,+18,80.000000 
 29,0500,+19,70.000000 
 29,0500,+20,60.000000 
 29,0500,+21,55.000000 
 29,0500,+22,50.000000 
 29,0500,+23,55.000000 
 29,0500,+24,55.000000 
 29,0500,+25,55.000000 
 29,0500,+26,55.000000 
 29,0500,+27,65.000000 
 29,0500,+28,70.000000 
 29,0500,+29,70.000000 
 29,0500,+30,70.000000 
 29,0500,+31,75.000000 
 29,0500,+32,75.000000 
 29,0500,+33,75.000000 
 29,0500,+34,70.000000 
 29,0500,+35,70.000000 
 29,0500,+36,75.000000 
 29,0500,+37,75.000000 
 29,0500,+38,75.000000 
 29,0500,+39,75.000000 
 29,0500,+40,75.000000 
 29,0500,+41,80.000000 
 29,0500,+42,80.000000 
 29,0500,+43,80.000000 
 29,0500,+44,70.000000 
 29,0500,+45,70.000000 
 29,0500,+46,60.000000 
 29,0500,+47,60.000000 
 29,0500,+48,60.000000 
 29,0500,+49,60.000000 
 29,0500,+50,65.000000 
 29,0500,+51,70.000000 
 29,0500,+52,75.000000 
 29,0500,+53,75.000000 
 29,0500,+54,75.000000 
 29,0500,+55,75.000000 
 29,0500,+56,80.000000 
 29,0500,+57,80.000000 
 29,0500,+58,80.000000 
 29,0800,+6,80.000000 
 29,0800,+7,80.000000 
 29,0800,+8,80.000000 
 29,0800,+9,80.000000 
 29,0800,+10,80.000000 
 29,0800,+11,80.000000 
 29,0800,+12,80.000000 
 29,0800,+13,80.000000 
 29,0800,+14,80.000000 
 29,0800,+15,80.000000 
 29,0800,+16,70.000000 
 29,0800,+17,60.000000 
 29,0800,+18,55.000000 
 29,0800,+19,50.000000 
 29,0800,+20,55.000000 
 29,0800,+21,55.000000 
 29,0800,+22,55.000000 
 29,0800,+23,60.000000 
 29,0800,+24,65.000000 
 29,0800,+25,70.000000 
 29,0800,+26,75.000000 
 29,0800,+27,75.000000 
 29,0800,+28,75.000000 
 29,0800,+29,75.000000 
 29,0800,+30,75.000000 
 29,0800,+31,75.000000 
 29,0800,+32,75.000000 
 29,0800,+33,75.000000 
 29,0800,+34,75.000000 
 29,0800,+35,75.000000 
 29,0800,+36,75.000000 
 29,0800,+37,80.000000 
 29,0800,+38,80.000000 
 29,0800,+39,85.000000 
 29,0800,+40,85.000000 
 29,0800,+41,75.000000 
 29,0800,+42,70.000000 
 29,0800,+43,65.000000 
 29,0800,+44,65.000000 
 29,0800,+45,60.000000 
 29,0800,+46,55.000000 
 29,0800,+47,60.000000 
 29,0800,+48,70.000000 
 29,0800,+49,75.000000 
 29,0800,+50,75.000000 
 29,0800,+51,75.000000 
 29,0800,+52,75.000000 
 29,0800,+53,80.000000 
 29,0800,+54,80.000000 
 29,0800,+55,80.000000 
 29,0800,+56,80.000000 
 29,0800,+57,85.000000 
 29,0800,+58,85.000000 
 29,0800,+59,90.000000 
 29,0800,+60,90.000000 
 29,0800,+61,90.000000 
 29,0800,+62,90.000000 
 29,0800,+63,90.000000 
 29,0800,+64,85.000000 
 29,0800,+65,75.000000 
 29,0800,+66,70.000000 
 29,0800,+67,60.000000 
 29,0800,+68,50.000000 
 29,0800,+69,50.000000 
 29,0800,+70,50.000000 
 29,0800,+71,50.000000 
 29,0800,+72,55.000000 
 29,0800,+73,60.000000 
 29,0800,+74,60.000000 
 29,0800,+75,60.000000 
 29,0800,+76,60.000000 
 29,0800,+77,60.000000 
 29,0800,+78,60.000000 
 29,0800,+79,60.000000 
 29,1100,+6,80.000000 
 29,1100,+7,80.000000 
 29,1100,+8,80.000000 
 29,1100,+9,80.000000 
 29,1100,+10,80.000000 
 29,1100,+11,80.000000 
 29,1100,+12,80.000000 
 29,1100,+13,70.000000 
 29,1100,+14,60.000000 
 29,1100,+15,55.000000 
 29,1100,+16,50.000000 
 29,1100,+17,55.000000 
 29,1100,+18,55.000000 
 29,1100,+19,55.000000 
 29,1100,+20,60.000000 
 29,1100,+21,65.000000 
 29,1100,+22,70.000000 
 29,1100,+23,75.000000 
 29,1100,+24,75.000000 
 29,1100,+25,75.000000 
 29,1100,+26,75.000000 
 29,1100,+27,75.000000 
 29,1100,+28,75.000000 
 29,1100,+29,75.000000 
 29,1100,+30,75.000000 
 29,1100,+31,75.000000 
 29,1100,+32,75.000000 
 29,1100,+33,75.000000 
 29,1100,+34,80.000000 
 29,1100,+35,80.000000 
 29,1100,+36,85.000000 
 29,1100,+37,85.000000 
 29,1100,+38,75.000000 
 29,1100,+39,70.000000 
 29,1100,+40,65.000000 
 29,1100,+41,65.000000 
 29,1100,+42,60.000000 
 29,1100,+43,55.000000 
 29,1100,+44,60.000000 
 29,1100,+45,70.000000 
 29,1100,+46,75.000000 
 29,1100,+47,75.000000 
 29,1100,+48,75.000000 
 29,1100,+49,75.000000 
 29,1100,+50,80.000000 
 29,1100,+51,80.000000 
 29,1100,+52,80.000000 
 29,1100,+53,80.000000 
 29,1100,+54,85.000000 
 29,1100,+55,85.000000 
 29,1100,+56,90.000000 
 29,1100,+57,90.000000 
 29,1100,+58,90.000000 
 29,1100,+59,90.000000 
 29,1100,+60,90.000000 
 29,1100,+61,85.000000 
 29,1100,+62,75.000000 
 29,1100,+63,70.000000 
 29,1100,+64,60.000000 
 29,1100,+65,50.000000 
 29,1100,+66,50.000000 
 29,1100,+67,50.000000 
 29,1100,+68,50.000000 
 29,1100,+69,55.000000 
 29,1100,+70,60.000000 
 29,1100,+71,60.000000 
 29,1100,+72,60.000000 
 29,1100,+73,60.000000 
 29,1100,+74,60.000000 
 29,1100,+75,60.000000 
 29,1100,+76,60.000000 
 29,1400,+6,80.000000 
 29,1400,+7,80.000000 
 29,1400,+8,80.000000 
 29,1400,+9,80.000000 
 29,1400,+10,70.000000 
 29,1400,+11,60.000000 
 29,1400,+12,55.000000 
 29,1400,+13,50.000000 
 29,1400,+14,55.000000 
 29,1400,+15,55.000000 
 29,1400,+16,55.000000 
 29,1400,+17,60.000000 
 29,1400,+18,65.000000 
 29,1400,+19,70.000000 
 29,1400,+20,75.000000 
 29,1400,+21,75.000000 
 29,1400,+22,75.000000 
 29,1400,+23,75.000000 
 29,1400,+24,75.000000 
 29,1400,+25,75.000000 
 29,1400,+26,75.000000 
 29,1400,+27,75.000000 
 29,1400,+28,75.000000 
 29,1400,+29,75.000000 
 29,1400,+30,75.000000 
 29,1400,+31,80.000000 
 29,1400,+32,80.000000 
 29,1400,+33,85.000000 
 29,1400,+34,85.000000 
 29,1400,+35,75.000000 
 29,1400,+36,70.000000 
 29,1400,+37,65.000000 
 29,1400,+38,65.000000 
 29,1400,+39,60.000000 
 29,1400,+40,55.000000 
 29,1400,+41,60.000000 
 29,1400,+42,70.000000 
 29,1400,+43,75.000000 
 29,1400,+44,75.000000 
 29,1400,+45,75.000000 
 29,1400,+46,75.000000 
 29,1400,+47,80.000000 
 29,1400,+48,80.000000 
 29,1400,+49,80.000000 
 29,1400,+50,80.000000 
 29,1400,+51,85.000000 
 29,1400,+52,85.000000 
 29,1400,+53,90.000000 
 29,1400,+54,90.000000 
 29,1400,+55,90.000000 
 29,1400,+56,90.000000 
 29,1400,+57,90.000000 
 29,1400,+58,85.000000 
 29,1400,+59,75.000000 
 29,1400,+60,70.000000 
 29,1400,+61,60.000000 
 29,1400,+62,50.000000 
 29,1400,+63,50.000000 
 29,1400,+64,50.000000 
 29,1400,+65,50.000000 
 29,1400,+66,55.000000 
 29,1400,+67,60.000000 
 29,1400,+68,60.000000 
 29,1400,+69,60.000000 
 29,1400,+70,60.000000 
 29,1400,+71,60.000000 
 29,1400,+72,60.000000 
 29,1400,+73,60.000000 
 29,1700,+6,80.000000 
 29,1700,+7,70.000000 
 29,1700,+8,60.000000 
 29,1700,+9,55.000000 
 29,1700,+10,50.000000 
 29,1700,+11,55.000000 
 29,1700,+12,55.000000 
 29,1700,+13,55.000000 
 29,1700,+14,60.000000 
 29,1700,+15,65.000000 
 29,1700,+16,70.000000 
 29,1700,+17,75.000000 
 29,1700,+18,75.000000 
 29,1700,+19,75.000000 
 29,1700,+20,75.000000 
 29,1700,+21,75.000000 
 29,1700,+22,75.000000 
 29,1700,+23,75.000000 
 29,1700,+24,75.000000 
 29,1700,+25,75.000000 
 29,1700,+26,75.000000 
 29,1700,+27,75.000000 
 29,1700,+28,80.000000 
 29,1700,+29,80.000000 
 29,1700,+30,85.000000 
 29,1700,+31,85.000000 
 29,1700,+32,75.000000 
 29,1700,+33,70.000000 
 29,1700,+34,65.000000 
 29,1700,+35,65.000000 
 29,1700,+36,60.000000 
 29,1700,+37,55.000000 
 29,1700,+38,60.000000 
 29,1700,+39,70.000000 
 29,1700,+40,75.000000 
 29,1700,+41,75.000000 
