 format: day,hour,forecast,value  location:51_129 Start : 20221229 
 29,0200,+6,1.700000 
 29,0200,+7,1.600000 
 29,0200,+8,1.500000 
 29,0200,+9,1.700000 
 29,0200,+10,1.900000 
 29,0200,+11,2.000000 
 29,0200,+12,2.000000 
 29,0200,+13,1.900000 
 29,0200,+14,1.600000 
 29,0200,+15,1.600000 
 29,0200,+16,1.700000 
 29,0200,+17,1.900000 
 29,0200,+18,2.100000 
 29,0200,+19,2.200000 
 29,0200,+20,2.200000 
 29,0200,+21,2.300000 
 29,0200,+22,1.800000 
 29,0200,+23,2.100000 
 29,0200,+24,2.000000 
 29,0200,+25,1.700000 
 29,0200,+26,1.800000 
 29,0200,+27,2.100000 
 29,0200,+28,2.200000 
 29,0200,+29,2.100000 
 29,0200,+30,1.700000 
 29,0200,+31,1.900000 
 29,0200,+32,1.900000 
 29,0200,+33,1.900000 
 29,0200,+34,2.000000 
 29,0200,+35,1.800000 
 29,0200,+36,1.800000 
 29,0200,+37,1.800000 
 29,0200,+38,1.700000 
 29,0200,+39,1.700000 
 29,0200,+40,1.800000 
 29,0200,+41,1.700000 
 29,0200,+42,1.700000 
 29,0200,+43,1.900000 
 29,0200,+44,2.000000 
 29,0200,+45,2.100000 
 29,0200,+46,1.700000 
 29,0200,+47,2.200000 
 29,0200,+48,2.400000 
 29,0200,+49,1.900000 
 29,0200,+50,1.300000 
 29,0200,+51,1.300000 
 29,0200,+52,2.000000 
 29,0200,+53,2.000000 
 29,0200,+54,2.300000 
 29,0200,+55,2.600000 
 29,0200,+56,2.800000 
 29,0200,+57,3.000000 
 29,0200,+58,3.000000 
 29,0200,+59,2.800000 
 29,0200,+60,2.700000 
 29,0200,+61,2.700000 
 29,0500,+6,1.700000 
 29,0500,+7,1.900000 
 29,0500,+8,2.000000 
 29,0500,+9,2.000000 
 29,0500,+10,1.900000 
 29,0500,+11,1.600000 
 29,0500,+12,1.600000 
 29,0500,+13,1.700000 
 29,0500,+14,1.900000 
 29,0500,+15,2.100000 
 29,0500,+16,2.200000 
 29,0500,+17,2.200000 
 29,0500,+18,2.300000 
 29,0500,+19,1.800000 
 29,0500,+20,2.100000 
 29,0500,+21,2.000000 
 29,0500,+22,1.700000 
 29,0500,+23,1.800000 
 29,0500,+24,2.100000 
 29,0500,+25,2.200000 
 29,0500,+26,2.100000 
 29,0500,+27,1.700000 
 29,0500,+28,1.900000 
 29,0500,+29,1.900000 
 29,0500,+30,1.900000 
 29,0500,+31,2.000000 
 29,0500,+32,1.800000 
 29,0500,+33,1.800000 
 29,0500,+34,1.800000 
 29,0500,+35,1.700000 
 29,0500,+36,1.700000 
 29,0500,+37,1.800000 
 29,0500,+38,1.700000 
 29,0500,+39,1.700000 
 29,0500,+40,1.900000 
 29,0500,+41,2.000000 
 29,0500,+42,2.100000 
 29,0500,+43,1.700000 
 29,0500,+44,2.200000 
 29,0500,+45,2.400000 
 29,0500,+46,1.900000 
 29,0500,+47,1.300000 
 29,0500,+48,1.300000 
 29,0500,+49,2.000000 
 29,0500,+50,2.000000 
 29,0500,+51,2.300000 
 29,0500,+52,2.600000 
 29,0500,+53,2.800000 
 29,0500,+54,3.000000 
 29,0500,+55,3.000000 
 29,0500,+56,2.800000 
 29,0500,+57,2.700000 
 29,0500,+58,2.700000 
 29,0800,+6,3.000000 
 29,0800,+7,3.100000 
 29,0800,+8,2.800000 
 29,0800,+9,2.400000 
 29,0800,+10,2.300000 
 29,0800,+11,2.300000 
 29,0800,+12,2.300000 
 29,0800,+13,2.300000 
 29,0800,+14,2.200000 
 29,0800,+15,2.300000 
 29,0800,+16,2.100000 
 29,0800,+17,2.300000 
 29,0800,+18,2.200000 
 29,0800,+19,2.200000 
 29,0800,+20,2.400000 
 29,0800,+21,2.600000 
 29,0800,+22,2.900000 
 29,0800,+23,2.900000 
 29,0800,+24,2.400000 
 29,0800,+25,2.300000 
 29,0800,+26,2.400000 
 29,0800,+27,2.200000 
 29,0800,+28,2.200000 
 29,0800,+29,2.200000 
 29,0800,+30,1.900000 
 29,0800,+31,1.700000 
 29,0800,+32,1.300000 
 29,0800,+33,1.300000 
 29,0800,+34,1.400000 
 29,0800,+35,1.500000 
 29,0800,+36,1.500000 
 29,0800,+37,1.500000 
 29,0800,+38,1.400000 
 29,0800,+39,1.900000 
 29,0800,+40,2.100000 
 29,0800,+41,2.300000 
 29,0800,+42,2.200000 
 29,0800,+43,2.100000 
