 format: day,hour,forecast,value  location:51_129 Start : 20221229 
 29,0200,+6,225.000000 
 29,0200,+7,202.000000 
 29,0200,+8,135.000000 
 29,0200,+9,27.000000 
 29,0200,+10,27.000000 
 29,0200,+11,29.000000 
 29,0200,+12,39.000000 
 29,0200,+13,45.000000 
 29,0200,+14,38.000000 
 29,0200,+15,29.000000 
 29,0200,+16,20.000000 
 29,0200,+17,2.000000 
 29,0200,+18,358.000000 
 29,0200,+19,360.000000 
 29,0200,+20,8.000000 
 29,0200,+21,14.000000 
 29,0200,+22,16.000000 
 29,0200,+23,8.000000 
 29,0200,+24,357.000000 
 29,0200,+25,339.000000 
 29,0200,+26,326.000000 
 29,0200,+27,321.000000 
 29,0200,+28,316.000000 
 29,0200,+29,318.000000 
 29,0200,+30,315.000000 
 29,0200,+31,320.000000 
 29,0200,+32,328.000000 
 29,0200,+33,338.000000 
 29,0200,+34,347.000000 
 29,0200,+35,353.000000 
 29,0200,+36,357.000000 
 29,0200,+37,360.000000 
 29,0200,+38,11.000000 
 29,0200,+39,34.000000 
 29,0200,+40,53.000000 
 29,0200,+41,58.000000 
 29,0200,+42,62.000000 
 29,0200,+43,65.000000 
 29,0200,+44,69.000000 
 29,0200,+45,72.000000 
 29,0200,+46,79.000000 
 29,0200,+47,96.000000 
 29,0200,+48,120.000000 
 29,0200,+49,143.000000 
 29,0200,+50,171.000000 
 29,0200,+51,202.000000 
 29,0200,+52,225.000000 
 29,0200,+53,233.000000 
 29,0200,+54,241.000000 
 29,0200,+55,252.000000 
 29,0200,+56,260.000000 
 29,0200,+57,268.000000 
 29,0200,+58,274.000000 
 29,0200,+59,276.000000 
 29,0200,+60,276.000000 
 29,0200,+61,274.000000 
 29,0500,+6,27.000000 
 29,0500,+7,27.000000 
 29,0500,+8,29.000000 
 29,0500,+9,39.000000 
 29,0500,+10,45.000000 
 29,0500,+11,38.000000 
 29,0500,+12,29.000000 
 29,0500,+13,20.000000 
 29,0500,+14,2.000000 
 29,0500,+15,358.000000 
 29,0500,+16,360.000000 
 29,0500,+17,8.000000 
 29,0500,+18,14.000000 
 29,0500,+19,16.000000 
 29,0500,+20,8.000000 
 29,0500,+21,357.000000 
 29,0500,+22,339.000000 
 29,0500,+23,326.000000 
 29,0500,+24,321.000000 
 29,0500,+25,316.000000 
 29,0500,+26,318.000000 
 29,0500,+27,315.000000 
 29,0500,+28,320.000000 
 29,0500,+29,328.000000 
 29,0500,+30,338.000000 
 29,0500,+31,347.000000 
 29,0500,+32,353.000000 
 29,0500,+33,357.000000 
 29,0500,+34,360.000000 
 29,0500,+35,11.000000 
 29,0500,+36,34.000000 
 29,0500,+37,53.000000 
 29,0500,+38,58.000000 
 29,0500,+39,62.000000 
 29,0500,+40,65.000000 
 29,0500,+41,69.000000 
 29,0500,+42,72.000000 
 29,0500,+43,79.000000 
 29,0500,+44,96.000000 
 29,0500,+45,120.000000 
 29,0500,+46,143.000000 
 29,0500,+47,171.000000 
 29,0500,+48,202.000000 
 29,0500,+49,225.000000 
 29,0500,+50,233.000000 
 29,0500,+51,241.000000 
 29,0500,+52,252.000000 
 29,0500,+53,260.000000 
 29,0500,+54,268.000000 
 29,0500,+55,274.000000 
 29,0500,+56,276.000000 
 29,0500,+57,276.000000 
 29,0500,+58,274.000000 
 29,0800,+6,40.000000 
 29,0800,+7,38.000000 
 29,0800,+8,38.000000 
 29,0800,+9,30.000000 
 29,0800,+10,13.000000 
 29,0800,+11,2.000000 
 29,0800,+12,2.000000 
 29,0800,+13,5.000000 
 29,0800,+14,8.000000 
 29,0800,+15,13.000000 
 29,0800,+16,17.000000 
 29,0800,+17,15.000000 
 29,0800,+18,5.000000 
 29,0800,+19,344.000000 
 29,0800,+20,324.000000 
 29,0800,+21,310.000000 
 29,0800,+22,306.000000 
 29,0800,+23,306.000000 
 29,0800,+24,306.000000 
 29,0800,+25,317.000000 
 29,0800,+26,330.000000 
 29,0800,+27,342.000000 
 29,0800,+28,352.000000 
 29,0800,+29,357.000000 
 29,0800,+30,360.000000 
 29,0800,+31,7.000000 
 29,0800,+32,27.000000 
 29,0800,+33,51.000000 
 29,0800,+34,69.000000 
 29,0800,+35,70.000000 
 29,0800,+36,62.000000 
 29,0800,+37,70.000000 
 29,0800,+38,94.000000 
 29,0800,+39,126.000000 
 29,0800,+40,133.000000 
 29,0800,+41,140.000000 
 29,0800,+42,159.000000 
 29,0800,+43,185.000000 
 29,0800,+44,216.000000 
 29,0800,+45,241.000000 
 29,0800,+46,254.000000 
 29,0800,+47,252.000000 
 29,0800,+48,252.000000 
 29,0800,+49,260.000000 
 29,0800,+50,266.000000 
 29,0800,+51,268.000000 
 29,0800,+52,274.000000 
 29,0800,+53,280.000000 
 29,0800,+54,280.000000 
 29,0800,+55,272.000000 
 29,0800,+56,270.000000 
 29,0800,+57,276.000000 
 29,0800,+58,290.000000 
 29,0800,+59,305.000000 
 29,0800,+60,313.000000 
 29,0800,+61,324.000000 
 29,0800,+62,330.000000 
 29,0800,+63,329.000000 
 29,0800,+64,327.000000 
 29,0800,+65,327.000000 
 29,0800,+66,324.000000 
 29,0800,+67,322.000000 
 29,0800,+68,323.000000 
 29,0800,+69,325.000000 
 29,0800,+70,326.000000 
 29,0800,+71,328.000000 
 29,0800,+72,316.000000 
 29,0800,+73,315.000000 
 29,0800,+74,318.000000 
 29,0800,+75,319.000000 
 29,0800,+76,319.000000 
