 format: day,hour,forecast,value  location:51_129 Start : 20230101 
1,200,6,0
1,200,7,0
1,200,8,0
1,200,9,0
1,200,10,0
1,200,11,0
1,200,12,0
1,200,13,0
1,200,14,0
1,200,15,0
1,200,16,0
1,200,17,0
1,200,18,0
1,200,19,0
1,200,20,0
1,200,21,0
1,200,22,0
1,200,23,0
1,200,24,0
1,200,25,0
1,200,26,0
1,200,27,0
1,200,28,0
1,200,29,0
1,200,30,0
1,200,31,0
1,200,32,0
1,200,33,0
1,200,34,0
1,200,35,0
1,200,36,0
1,200,37,0
1,200,38,0
1,200,39,0
1,200,40,0
1,200,41,0
1,200,42,0
1,200,43,0
1,200,44,0
1,200,45,0
1,200,46,0
1,200,47,0
1,200,48,0
1,200,49,0
1,200,50,0
1,200,51,0
1,200,52,0
1,200,53,0
1,200,54,0
1,200,55,0
1,200,56,0
1,200,57,0
1,200,58,0
1,200,59,0
1,200,60,0
1,200,61,0
1,500,6,0
1,500,7,0
1,500,8,0
1,500,9,0
1,500,10,0
1,500,11,0
1,500,12,0
1,500,13,0
1,500,14,0
1,500,15,0
1,500,16,0
1,500,17,0
1,500,18,0
1,500,19,0
1,500,20,0
1,500,21,0
1,500,22,0
1,500,23,0
1,500,24,0
1,500,25,0
1,500,26,0
1,500,27,0
1,500,28,0
1,500,29,0
1,500,30,0
1,500,31,0
1,500,32,0
1,500,33,0
1,500,34,0
1,500,35,0
1,500,36,0
1,500,37,0
1,500,38,0
1,500,39,0
1,500,40,0
1,500,41,0
1,500,42,0
1,500,43,0
1,500,44,0
1,500,45,0
1,500,46,0
1,500,47,0
1,500,48,0
1,500,49,0
1,500,50,0
1,500,51,0
1,500,52,0
1,500,53,0
1,500,54,0
1,500,55,0
1,500,56,0
1,500,57,0
1,500,58,0
1,800,6,0
1,800,7,0
1,800,8,0
1,800,9,0
1,800,10,0
1,800,11,0
1,800,12,0
1,800,13,0
1,800,14,0
1,800,15,0
1,800,16,0
1,800,17,0
1,800,18,0
1,800,19,0
1,800,20,0
1,800,21,0
1,800,22,0
1,800,23,0
1,800,24,0
1,800,25,0
1,800,26,0
1,800,27,0
1,800,28,0
1,800,29,0
1,800,30,0
1,800,31,0
1,800,32,0
1,800,33,0
1,800,34,0
1,800,35,0
1,800,36,0
1,800,37,0
1,800,38,0
1,800,39,0
1,800,40,0
1,800,41,0
1,800,42,0
1,800,43,0
1,800,44,0
1,800,45,0
1,800,46,0
1,800,47,0
1,800,48,0
1,800,49,0
1,800,50,0
1,800,51,0
1,800,52,0
1,800,53,0
1,800,54,0
1,800,55,0
1,800,56,0
1,800,57,0
1,800,58,0
1,800,59,0
1,800,60,0
1,800,61,0
1,800,62,0
1,800,63,0
1,800,64,0
1,800,65,0
1,800,66,0
1,800,67,0
1,800,68,0
1,800,69,0
1,800,70,0
1,800,71,0
1,800,72,0
1,800,73,0
1,800,74,0
1,800,75,0
1,800,76,0
1,800,77,0
1,800,78,0
1,800,79,0
1,1100,6,0
1,1100,7,0
1,1100,8,0
1,1100,9,0
1,1100,10,0
1,1100,11,0
1,1100,12,0
1,1100,13,0
1,1100,14,0
1,1100,15,0
1,1100,16,0
1,1100,17,0
1,1100,18,0
1,1100,19,0
1,1100,20,0
1,1100,21,0
1,1100,22,0
1,1100,23,0
1,1100,24,0
1,1100,25,0
1,1100,26,0
1,1100,27,0
1,1100,28,0
1,1100,29,0
1,1100,30,0
1,1100,31,0
1,1100,32,0
1,1100,33,0
1,1100,34,0
1,1100,35,0
1,1100,36,0
1,1100,37,0
1,1100,38,0
1,1100,39,0
1,1100,40,0
1,1100,41,0
1,1100,42,0
1,1100,43,0
1,1100,44,0
1,1100,45,0
1,1100,46,0
1,1100,47,0
1,1100,48,0
1,1100,49,0
1,1100,50,0
1,1100,51,0
1,1100,52,0
1,1100,53,0
1,1100,54,0
1,1100,55,0
1,1100,56,0
1,1100,57,0
1,1100,58,0
1,1100,59,0
1,1100,60,0
1,1100,61,0
1,1100,62,0
1,1100,63,0
1,1100,64,0
1,1100,65,0
1,1100,66,0
1,1100,67,0
1,1100,68,0
1,1100,69,0
1,1100,70,0
1,1100,71,0
1,1100,72,0
1,1100,73,0
1,1100,74,0
1,1100,75,0
1,1100,76,0
1,1400,6,0
1,1400,7,0
1,1400,8,0
1,1400,9,0
1,1400,10,0
1,1400,11,0
1,1400,12,0
1,1400,13,0
1,1400,14,0
1,1400,15,0
1,1400,16,0
1,1400,17,0
1,1400,18,0
1,1400,19,0
1,1400,20,0
1,1400,21,0
1,1400,22,0
1,1400,23,0
1,1400,24,0
1,1400,25,0
1,1400,26,0
1,1400,27,0
1,1400,28,0
1,1400,29,0
1,1400,30,0
1,1400,31,0
1,1400,32,0
1,1400,33,0
1,1400,34,0
1,1400,35,0
1,1400,36,0
1,1400,37,0
1,1400,38,0
1,1400,39,0
1,1400,40,0
1,1400,41,0
1,1400,42,0
1,1400,43,0
1,1400,44,0
1,1400,45,0
1,1400,46,0
1,1400,47,0
1,1400,48,0
1,1400,49,0
1,1400,50,0
1,1400,51,0
1,1400,52,0
1,1400,53,0
1,1400,54,0
1,1400,55,0
1,1400,56,0
1,1400,57,0
1,1400,58,0
1,1400,59,0
1,1400,60,0
1,1400,61,0
1,1400,62,0
1,1400,63,0
1,1400,64,0
1,1400,65,0
1,1400,66,0
1,1400,67,0
1,1400,68,0
1,1400,69,0
1,1400,70,0
1,1400,71,0
1,1400,72,0
1,1400,73,0
1,1700,6,0
1,1700,7,0
1,1700,8,0
1,1700,9,0
1,1700,10,0
1,1700,11,0
1,1700,12,0
1,1700,13,0
1,1700,14,0
1,1700,15,0
1,1700,16,0
1,1700,17,0
1,1700,18,0
1,1700,19,0
1,1700,20,0
1,1700,21,0
1,1700,22,0
1,1700,23,0
1,1700,24,0
1,1700,25,0
1,1700,26,0
1,1700,27,0
1,1700,28,0
1,1700,29,0
1,1700,30,0
1,1700,31,0
1,1700,32,0
1,1700,33,0
1,1700,34,0
1,1700,35,0
1,1700,36,0
1,1700,37,0
1,1700,38,0
1,1700,39,0
1,1700,40,0
1,1700,41,0
1,1700,42,0
1,1700,43,0
1,1700,44,0
1,1700,45,0
1,1700,46,0
1,1700,47,0
1,1700,48,0
1,1700,49,0
1,1700,50,0
1,1700,51,0
1,1700,52,0
1,1700,53,0
1,1700,54,0
1,1700,55,0
1,1700,56,0
1,1700,57,0
1,1700,58,0
1,1700,59,0
1,1700,60,0
1,1700,61,0
1,1700,62,0
1,1700,63,0
1,1700,64,0
1,1700,65,0
1,1700,66,0
1,1700,67,0
1,1700,68,0
1,1700,69,0
1,1700,70,0
1,2000,6,0
1,2000,7,0
1,2000,8,0
1,2000,9,0
1,2000,10,0
1,2000,11,0
1,2000,12,0
1,2000,13,0
1,2000,14,0
1,2000,15,0
1,2000,16,0
1,2000,17,0
1,2000,18,0
1,2000,19,0
1,2000,20,0
1,2000,21,0
1,2000,22,0
1,2000,23,0
1,2000,24,0
1,2000,25,0
1,2000,26,0
1,2000,27,0
1,2000,28,0
1,2000,29,0
1,2000,30,0
1,2000,31,0
1,2000,32,0
1,2000,33,0
1,2000,34,0
1,2000,35,0
1,2000,36,0
1,2000,37,0
1,2000,38,0
1,2000,39,0
1,2000,40,0
1,2000,41,0
1,2000,42,0
1,2000,43,0
1,2000,44,0
1,2000,45,0
1,2000,46,0
1,2000,47,0
1,2000,48,0
1,2000,49,0
1,2000,50,0
1,2000,51,0
1,2000,52,0
1,2000,53,0
1,2000,54,0
1,2000,55,0
1,2000,56,0
1,2000,57,0
1,2000,58,0
1,2000,59,0
1,2000,60,0
1,2000,61,0
1,2000,62,0
1,2000,63,0
1,2000,64,0
1,2000,65,0
1,2000,66,0
1,2000,67,0
1,2300,6,0
1,2300,7,0
1,2300,8,0
1,2300,9,0
1,2300,10,0
1,2300,11,0
1,2300,12,0
1,2300,13,0
1,2300,14,0
1,2300,15,0
1,2300,16,0
1,2300,17,0
1,2300,18,0
1,2300,19,0
1,2300,20,0
1,2300,21,0
1,2300,22,0
1,2300,23,0
1,2300,24,0
1,2300,25,0
1,2300,26,0
1,2300,27,0
1,2300,28,0
1,2300,29,0
1,2300,30,0
1,2300,31,0
1,2300,32,0
1,2300,33,0
1,2300,34,0
1,2300,35,0
1,2300,36,0
1,2300,37,0
1,2300,38,0
1,2300,39,0
1,2300,40,0
1,2300,41,0
1,2300,42,0
1,2300,43,0
1,2300,44,0
1,2300,45,0
1,2300,46,0
1,2300,47,0
1,2300,48,0
1,2300,49,0
1,2300,50,0
1,2300,51,0
1,2300,52,0
1,2300,53,0
1,2300,54,0
1,2300,55,0
1,2300,56,0
1,2300,57,0
1,2300,58,0
1,2300,59,0
1,2300,60,0
1,2300,61,0
1,2300,62,0
1,2300,63,0
1,2300,64,0
 Start : 20230102 ,,,
2,200,6,0
2,200,7,0
2,200,8,0
2,200,9,0
2,200,10,0
2,200,11,0
2,200,12,0
2,200,13,0
2,200,14,0
2,200,15,0
2,200,16,0
2,200,17,0
2,200,18,0
2,200,19,0
2,200,20,0
2,200,21,0
2,200,22,0
2,200,23,0
2,200,24,0
2,200,25,0
2,200,26,0
2,200,27,0
2,200,28,0
2,200,29,0
2,200,30,0
2,200,31,0
2,200,32,0
2,200,33,0
2,200,34,0
2,200,35,0
2,200,36,0
2,200,37,0
2,200,38,0
2,200,39,0
2,200,40,0
2,200,41,0
2,200,42,0
2,200,43,0
2,200,44,0
2,200,45,0
2,200,46,0
2,200,47,0
2,200,48,0
2,200,49,0
2,200,50,0
2,200,51,0
2,200,52,0
2,200,53,0
2,200,54,0
2,200,55,0
2,200,56,0
