 format: day,hour,forecast,value  location:51_129 Start : 20230101 
1,200,6,-2
1,200,7,-4
1,200,8,-4
1,200,9,-5
1,200,10,-6
1,200,11,-6
1,200,12,-7
1,200,13,-7
1,200,14,-7
1,200,15,-8
1,200,16,-8
1,200,17,-9
1,200,18,-9
1,200,19,-9
1,200,20,-9
1,200,21,-9
1,200,22,-8
1,200,23,-6
1,200,24,-5
1,200,25,-4
1,200,26,-3
1,200,27,-3
1,200,28,-2
1,200,29,-3
1,200,30,-4
1,200,31,-6
1,200,32,-6
1,200,33,-7
1,200,34,-8
1,200,35,-8
1,200,36,-9
1,200,37,-9
1,200,38,-9
1,200,39,-10
1,200,40,-10
1,200,41,-10
1,200,42,-11
1,200,43,-11
1,200,44,-11
1,200,45,-11
1,200,46,-9
1,200,47,-6
1,200,48,-4
1,200,49,-3
1,200,50,-2
1,200,51,-1
1,200,52,-1
1,200,53,-2
1,200,54,-3
1,200,55,-5
1,200,56,-5
1,200,57,-6
1,200,58,-7
1,200,59,-7
1,200,60,-8
1,200,61,-8
1,500,6,-5
1,500,7,-6
1,500,8,-6
1,500,9,-7
1,500,10,-7
1,500,11,-7
1,500,12,-8
1,500,13,-8
1,500,14,-9
1,500,15,-9
1,500,16,-9
1,500,17,-9
1,500,18,-9
1,500,19,-8
1,500,20,-6
1,500,21,-5
1,500,22,-4
1,500,23,-3
1,500,24,-3
1,500,25,-2
1,500,26,-3
1,500,27,-4
1,500,28,-6
1,500,29,-6
1,500,30,-7
1,500,31,-8
1,500,32,-8
1,500,33,-9
1,500,34,-9
1,500,35,-9
1,500,36,-10
1,500,37,-10
1,500,38,-10
1,500,39,-11
1,500,40,-11
1,500,41,-11
1,500,42,-11
1,500,43,-9
1,500,44,-6
1,500,45,-4
1,500,46,-3
1,500,47,-2
1,500,48,-1
1,500,49,-1
1,500,50,-2
1,500,51,-3
1,500,52,-5
1,500,53,-5
1,500,54,-6
1,500,55,-7
1,500,56,-7
1,500,57,-8
1,500,58,-8
1,800,6,-7
1,800,7,-7
1,800,8,-7
1,800,9,-8
1,800,10,-8
1,800,11,-9
1,800,12,-9
1,800,13,-9
1,800,14,-9
1,800,15,-9
1,800,16,-8
1,800,17,-6
1,800,18,-5
1,800,19,-4
1,800,20,-3
1,800,21,-3
1,800,22,-2
1,800,23,-3
1,800,24,-4
1,800,25,-5
1,800,26,-6
1,800,27,-7
1,800,28,-7
1,800,29,-8
1,800,30,-8
1,800,31,-9
1,800,32,-9
1,800,33,-9
1,800,34,-10
1,800,35,-10
1,800,36,-10
1,800,37,-11
1,800,38,-11
1,800,39,-11
1,800,40,-9
1,800,41,-6
1,800,42,-4
1,800,43,-3
1,800,44,-2
1,800,45,-1
1,800,46,-1
1,800,47,-1
1,800,48,-3
1,800,49,-4
1,800,50,-5
1,800,51,-6
1,800,52,-6
1,800,53,-6
1,800,54,-6
1,800,55,-7
1,800,56,-8
1,800,57,-8
1,800,58,-8
1,800,59,-8
1,800,60,-9
1,800,61,-9
1,800,62,-9
1,800,63,-10
1,800,64,-8
1,800,65,-5
1,800,66,-3
1,800,67,-1
1,800,68,-1
1,800,69,0
1,800,70,0
1,800,71,-1
1,800,72,-2
1,800,73,-4
1,800,74,-4
1,800,75,-5
1,800,76,-5
1,800,77,-6
1,800,78,-6
1,800,79,-7
1,1100,6,-8
1,1100,7,-8
1,1100,8,-9
1,1100,9,-9
1,1100,10,-9
1,1100,11,-9
1,1100,12,-9
1,1100,13,-8
1,1100,14,-6
1,1100,15,-5
1,1100,16,-4
1,1100,17,-3
1,1100,18,-3
1,1100,19,-2
1,1100,20,-3
1,1100,21,-4
1,1100,22,-5
1,1100,23,-6
1,1100,24,-7
1,1100,25,-7
1,1100,26,-8
1,1100,27,-8
1,1100,28,-9
1,1100,29,-9
1,1100,30,-9
1,1100,31,-10
1,1100,32,-10
1,1100,33,-10
1,1100,34,-11
1,1100,35,-11
1,1100,36,-11
1,1100,37,-9
1,1100,38,-6
1,1100,39,-4
1,1100,40,-3
1,1100,41,-2
1,1100,42,-1
1,1100,43,-1
1,1100,44,-1
1,1100,45,-3
1,1100,46,-4
1,1100,47,-5
1,1100,48,-6
1,1100,49,-6
1,1100,50,-6
1,1100,51,-6
1,1100,52,-7
1,1100,53,-8
1,1100,54,-8
1,1100,55,-8
1,1100,56,-8
1,1100,57,-9
1,1100,58,-9
1,1100,59,-9
1,1100,60,-10
1,1100,61,-8
1,1100,62,-5
1,1100,63,-3
1,1100,64,-1
1,1100,65,-1
1,1100,66,0
1,1100,67,0
1,1100,68,-1
1,1100,69,-2
1,1100,70,-4
1,1100,71,-4
1,1100,72,-5
1,1100,73,-5
1,1100,74,-6
1,1100,75,-6
1,1100,76,-7
1,1400,6,-9
1,1400,7,-9
1,1400,8,-9
1,1400,9,-9
1,1400,10,-8
1,1400,11,-6
1,1400,12,-5
1,1400,13,-4
1,1400,14,-3
1,1400,15,-3
1,1400,16,-2
1,1400,17,-3
1,1400,18,-4
1,1400,19,-5
1,1400,20,-6
1,1400,21,-7
1,1400,22,-7
1,1400,23,-8
1,1400,24,-8
1,1400,25,-9
1,1400,26,-9
1,1400,27,-9
1,1400,28,-10
1,1400,29,-10
1,1400,30,-10
1,1400,31,-11
1,1400,32,-11
1,1400,33,-11
1,1400,34,-9
1,1400,35,-6
1,1400,36,-4
1,1400,37,-3
1,1400,38,-2
1,1400,39,-1
1,1400,40,-1
1,1400,41,-1
1,1400,42,-3
1,1400,43,-4
1,1400,44,-5
1,1400,45,-6
1,1400,46,-6
1,1400,47,-6
1,1400,48,-6
1,1400,49,-7
1,1400,50,-8
1,1400,51,-8
1,1400,52,-8
1,1400,53,-8
1,1400,54,-9
1,1400,55,-9
1,1400,56,-9
1,1400,57,-10
1,1400,58,-8
1,1400,59,-5
1,1400,60,-3
1,1400,61,-1
1,1400,62,-1
1,1400,63,0
1,1400,64,0
1,1400,65,-1
1,1400,66,-2
1,1400,67,-4
1,1400,68,-4
1,1400,69,-5
1,1400,70,-5
1,1400,71,-6
1,1400,72,-6
1,1400,73,-7
1,1700,6,-9
1,1700,7,-8
1,1700,8,-6
1,1700,9,-5
1,1700,10,-4
1,1700,11,-3
1,1700,12,-3
1,1700,13,-2
1,1700,14,-3
1,1700,15,-4
