지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
201,2023-01-01 00:00,3.2,,2.8,290,69,5.3,-1.9,1024.2,1030.2,,,3,,9,6,,,799,,,-.3,,,,
201,2023-01-01 01:00,2.9,,2.3,270,66,5,-2.8,1023.8,1029.8,,,3,,4,2,,75,749,,,-.3,,,,
201,2023-01-01 02:00,2.1,,2.4,270,71,5,-2.6,1024,1030.1,,,3,,8,1,,15,675,,,-.3,,,,
201,2023-01-01 03:00,2,,1.1,180,65,4.6,-3.9,1024.3,1030.4,,,3,,9,6,,11,800,,,-.3,,,,
201,2023-01-01 04:00,.7,,1.1,200,57,3.7,-6.8,1024.4,1030.5,,,3,,8,6,,13,1346,,,-.3,,,,
201,2023-01-01 05:00,-3.9,,1.2,360,81,3.7,-6.6,1024.5,1030.7,,,3,,3,0,,,1098,,,-.4,,,,
201,2023-01-01 06:00,-4.5,,1.8,360,77,3.4,-7.9,1024.8,1031,,,3,,3,0,,,1382,,,-.6,,,,
201,2023-01-01 07:00,-5.1,,.5,360,78,3.3,-8.3,1025.5,1031.8,,,3,,0,0,,,1327,,,-.6,,,,
201,2023-01-01 08:00,-2.6,,1.9,340,65,3.3,-8.2,1026.2,1032.4,0,,3,,0,0,,,1558,,,-.7,,,,
201,2023-01-01 09:00,-1,,2.6,320,60,3.4,-7.7,1026.6,1032.8,.9,,3,,4,0,,,1159,,,-.6,,,,
201,2023-01-01 10:00,-.2,,2.9,340,50,3,-9.3,1026.9,1033,1,,3,,3,0,,,1597,,,-.5,,,,
201,2023-01-01 11:00,.5,,2.3,270,51,3.2,-8.4,1027.3,1033.4,1,,3,,3,0,,,1402,,,-.3,,,,
201,2023-01-01 12:00,1,,2.3,250,44,2.9,-9.9,1026.7,1032.8,1,,2.9,,3,0,,,1580,,,-.2,,,,
201,2023-01-01 13:00,1.5,,3.6,230,44,3,-9.4,1026.3,1032.4,1,,2.7,,4,0,,,1628,,,-.2,,,,
201,2023-01-01 14:00,1.8,,3.1,230,44,3.1,-9.1,1026,1032.1,1,,2.4,,3,0,,,2442,,,-.2,,,,
201,2023-01-01 15:00,2.1,,1.7,20,22,1.6,-17.4,1025.5,1031.6,1,,2.2,,5,0,,,5000,,,-.2,,,,
201,2023-01-01 16:00,1.1,,2.1,360,23,1.5,-17.7,1025.9,1032,.7,,2.2,,3,0,,,5000,,,-.2,,,,
201,2023-01-01 17:00,-.1,,1.6,340,31,1.9,-15.2,1025.7,1031.8,.8,,2.2,,3,0,,,5000,,,-.2,,,,
201,2023-01-01 18:00,-1.3,,1.9,320,29,1.6,-17,1025.6,1031.8,0,,2.2,,3,0,,,5000,,,-.2,,,,
201,2023-01-01 19:00,-2,,2.2,270,39,2.1,-14.1,1026.3,1032.5,,,2.2,,2,0,,,4779,,,-.4,,,,
201,2023-01-01 20:00,-2.9,,2.4,270,44,2.2,-13.4,1027,1033.2,,,2.2,,0,0,,,5000,,,-.5,,,,
201,2023-01-01 21:00,-3.4,,1.5,230,43,2,-14.2,1027.8,1034,,,2.2,,2,0,,,5000,,,-.6,,,,
201,2023-01-01 22:00,-3.8,,1.9,270,40,1.8,-15.4,1028.2,1034.4,,,2.2,,5,0,,,4772,,,-.6,,,,
201,2023-01-01 23:00,-4.1,,1.9,180,41,1.8,-15.4,1028.4,1034.6,,,2.2,,1,0,,,5000,,,-.7,,,,
201,2023-01-02 00:00,-4.4,,1.5,250,39,1.7,-16.3,1028.1,1034.4,,,2.2,,1,0,,,5000,,,-.8,,,,
201,2023-01-02 01:00,-4.5,,1.2,200,38,1.7,-16.7,1028.1,1034.4,,,2.2,,2,0,,,5000,,,-.9,,,,
201,2023-01-02 02:00,-7.9,,1,20,59,2,-14.5,1028.3,1034.6,,,2.2,,9,0,,,5000,,,-.9,,,,
201,2023-01-02 03:00,-8.4,,1,20,61,2,-14.5,1028.5,1034.9,,,2.2,,4,0,,,5000,,,-1,,,,
201,2023-01-02 04:00,-7.3,,1.1,320,55,1.9,-14.8,1028.4,1034.7,,,2.2,,4,0,,,5000,,,-1.1,,,,
201,2023-01-02 05:00,-6.8,,2.1,340,51,1.9,-15.2,1028.1,1034.4,,,2.2,,0,0,,,5000,,,-1.1,,,,
201,2023-01-02 06:00,-6.6,,1.1,230,47,1.8,-16,1027.9,1034.2,,,2.2,,5,0,,,5000,,,-1.1,,,,
201,2023-01-02 07:00,-6.3,,1.9,340,40,1.5,-17.7,1028.1,1034.4,,,2.2,,6,0,,,5000,,,-1.1,,,,
201,2023-01-02 08:00,-6.7,,1.6,180,38,1.4,-18.6,1028.4,1034.7,0,,2.2,,0,0,,,5000,,,-1.2,,,,
201,2023-01-02 09:00,-5.7,,1.5,200,36,1.4,-18.4,1028.6,1034.9,.9,,2.2,,4,0,,,5000,,,-1.1,,,,
201,2023-01-02 10:00,-4.8,,2.6,360,33,1.4,-18.6,1029.3,1035.6,1,,2.2,,4,0,,,5000,,,-.9,,,,
201,2023-01-02 11:00,-3.9,,2.5,340,34,1.6,-17.4,1028.8,1035,1,,2.2,,3,0,,,5000,,,-.6,,,,
201,2023-01-02 12:00,-3.3,,3.1,340,34,1.6,-16.9,1027.9,1034.1,1,,2.2,,3,0,,,5000,,,-.4,,,,
201,2023-01-02 13:00,-2.6,,2.3,230,37,1.9,-15.3,1027.5,1033.7,1,,2.2,,3,0,,,5000,,,-.3,,,,
201,2023-01-02 14:00,-2.4,,2.1,230,33,1.7,-16.5,1026.5,1032.7,1,,2,,2,0,,,5000,,,-.2,,,,
201,2023-01-02 15:00,-1.9,,3.6,200,34,1.8,-15.7,1025.8,1032,1,,2,,2,0,,,5000,,,-.2,,,,
201,2023-01-02 16:00,-1.8,,2.5,290,35,1.9,-15.2,1025.7,1031.9,.7,,2,,3,0,,,5000,,,-.6,,,,
201,2023-01-02 17:00,-2.5,,1.2,340,40,2,-14.2,1026,1032.2,.8,,2,,0,0,,,5000,,,-1.4,,,,
201,2023-01-02 18:00,-3.4,,1.9,340,41,2,-14.7,1026.3,1032.5,.1,,2,,0,0,,,5000,,,-2.3,,,,
201,2023-01-02 19:00,-5.7,,.3,0,56,2.2,-13.1,1026.7,1033,,,2,,0,0,,,4993,,,-2.9,,,,
201,2023-01-02 20:00,-6.8,,.6,340,60,2.2,-13.3,1027.3,1033.6,,,2,,1,0,,,4945,,,-3.3,,,,
201,2023-01-02 21:00,-6.8,,1.2,230,55,2,-14.3,1027.4,1033.7,,,2,,0,0,,,4883,,,-3.5,,,,
201,2023-01-02 22:00,-9.2,,.3,0,65,2,-14.6,1027.3,1033.7,,,2,,0,0,,,3720,,,-3.9,,,,
201,2023-01-02 23:00,-7.8,,1.1,290,55,1.9,-15.3,1027.2,1033.5,,,2,,0,0,,,2225,,,-4,,,,
201,2023-01-03 00:00,-9.2,,.1,0,62,1.9,-15.1,1027.1,1033.5,,,2,,0,0,,,5000,,,-4.2,,,,
201,2023-01-03 01:00,-9,,.7,230,61,1.9,-15.1,1026.7,1033.1,,,2,,0,0,,,4842,,,-4.3,,,,
201,2023-01-03 02:00,-9.5,,.6,340,62,1.8,-15.4,1026.4,1032.8,,,2,,0,0,,,5000,,,-4.4,,,,
